,text,embeddings,distances
21,"On November 23, 2016, then President-elect Donald Trump announced his intention to nominate Haley for ambassador to the United Nations. On January 20, 2017, President Trump sent Haley's nomination to the United States Senate. It has been reported that Trump considered Haley for the position of secretary of state, which she declined.On January 24, 2017, by a vote of 96–4, Haley was confirmed by the Senate to become U.S. ambassador to the United Nations. The four senators who voted against Haley were Bernie Sanders (I-Vt.), Martin Heinrich (D-N.M.), Tom Udall (D-N.M.), and Chris Coons (D-Del.) Haley was the first Indian American to hold a cabinet level position. Shortly thereafter, she resigned as South Carolina governor, and Lt. Governor Henry McMaster ascended to the governorship of South Carolina.","[-0.0194988  -0.00907813  0.00485232 ... -0.01302903  0.00164941
  0.01137323]",0.2224808768792823
5,"In 2012, Haley would credit Hillary Clinton with inspiring her to run for office, stating in an interview that:""The reason I actually ran for office is because of Hillary Clinton... She said that when it comes to women running for office, there will be everybody that tells you why you shouldn't, but that's all the reasons why we need you to do it, and I walked out of there thinking, 'That's it. I'm running for office.'""","[-4.30956334e-02 -8.73525999e-03 -1.11652277e-02 ... -8.21139663e-03
  5.17255685e-05 -9.59363859e-03]",0.22275225160371037
15,"In July 2015, Haley signed a bill to authorize removing the Confederate flag from the flagpole on the grounds of the South Carolina Capitol. In December 2019, she defended the people of South Carolina, saying that ""some people"" in South Carolina saw the flag as a representation of ""service and sacrifice and heritage"" before the flag was hijacked by the white supremacist mass killer Dylann Roof. In regard to the state trial of Roof, Haley urged prosecutors to seek the death penalty against him.","[-0.02592946 -0.00165974 -0.00144034 ... -0.00072425 -0.01933944
  0.00126091]",0.22484466303196193
89,Appearances on C-SPAN,"[-0.01756292 -0.01400757  0.01547783 ... -0.00560369 -0.02419246
 -0.00172923]",0.23060610952995286
3,"After graduating from college, Haley worked for FCR Corporation, a waste management and recycling company, before joining her family's clothing business as its bookkeeper and chief financial officer.She married Michael Haley in 1996. She later became active in civic affairs. In 1998, she was named to the board of directors of the Orangeburg County Chamber of Commerce. She was named to the board of directors of the Lexington Chamber of Commerce in 2003. Haley became treasurer of the National Association of Women Business Owners in 2003, and president in 2004.Haley chaired the Lexington Gala to raise funds for a local hospital. She also served on the Lexington Medical Foundation, Lexington County Sheriff's Foundation, and West Metro Republican Women. She was the president of the South Carolina Chapter of the National Association of Women Business Owners, and was chair for the 2006 Friends of Scouting Leadership Division campaign.","[ 0.00021806 -0.00377142 -0.00563886 ... -0.00468853 -0.0111448
 -0.01014131]",0.23146178114388116
34,"Nevertheless, in April 2021, Haley said she would support Trump for president in 2024.During the next years, ""after being plucked from the governorship of South Carolina to serve as U.S. ambassador to the United Nations, Haley had navigated the Trump era with a singular shrewdness,"" Tim Alberta argues, citing a New York Times editorial claiming that Haley was able to ""exit the administration with her dignity largely intact.""","[-0.03352283 -0.02436871  0.01069459 ... -0.00222038  0.01371849
  0.02100882]",0.23327331251058936
11,"Upon becoming governor, Haley appointed Bobby Hitt as the state's secretary of commerce. She stated of the economy: ""We have announced 85,613 jobs. We have celebrated 672 projects—more than half of which were expansions...We have seen $21.5 billion in capital investment. Our unemployment rate is now 4.4 percent. Every single one of our 46 counties has seen new jobs. Every one.""In inviting business to move to South Carolina, she has said:","[-0.02028258 -0.02520153  0.02573086 ... -0.01048988 -0.01323338
  0.01150982]",0.23389142774115412
14,"""These grounds [the State Capital] are a place that everybody should feel a part of. What I realized now more than ever is people were driving by and felt hurt and pain. No one should feel pain."" Haley also said, ""There is a place for that flag,"" but she added, ""It's not in a place that represents all people in South Carolina.""","[-0.00479962  0.0069572   0.02018039 ... -0.00782281 -0.00452508
 -0.00739   ]",0.2383728170005115
87,"Announcement of presidential candidacy, via Twitter video, 14 Feb. 2023","[-0.0120284  -0.02554525 -0.00120777 ... -0.00335218  0.02260653
 -0.0169708 ]",0.23847392675458923
41,"If You Want Something Done: Leadership Lessons from Bold Women, St. Martin's Press, New York (2022).","[-0.03195218 -0.02564583 -0.02706476 ... -0.01723736  0.01953655
 -0.01589726]",0.2436613288370446
68,"FDD's Jeane J. Kirkpatrick Statesmanship Award, Foundation for Defense of Democracies 2018","[-0.02322975 -0.00634335 -0.00177122 ... -0.00970041 -0.00903304
 -0.00640402]",0.24366286107316804
61,"WDN ""10 for 10"" award, International Republican Institute, 2016","[-0.02170689 -0.0182998   0.01142573 ... -0.03915492 -0.01028116
 -0.02490104]",0.24739809934200485
46,"Palmetto Leadership Award, South Carolina Policy Council, 2006","[-0.00875777 -0.01417166  0.0057788  ... -0.03394298 -0.0188292
 -0.01366743]",0.24754025740369434
38,"Can't Is Not an Option: My American Story, Sentinel, New York (2012).","[-0.01838671 -0.03282961 -0.00037181 ... -0.00900016 -0.00884694
 -0.04287568]",0.24962691037203322
59,"""The 100 Most Influential People"", Time, 2016","[-0.01055755 -0.01587835  0.00085744 ... -0.01150792 -0.01839975
 -0.00955546]",0.2518791299167328
64,"The 25 Most Powerful Female Political Leaders, Forbes, 2017","[-0.03105523 -0.01614619 -0.00892522 ... -0.00413754  0.01121018
 -0.02769722]",0.25460180387007003
69,Global Leadership Award Hudson Institute 2018,"[-0.01745449  0.00211646  0.00805025 ... -0.02331287  0.0117972
  0.00594217]",0.2547337228843142
40,"A Better Blueprint for International Organizations: Advancing American Interests on the Global Stage, Foundation for Defense of Democracies, (2021)","[-0.02996456 -0.01952316 -0.01330585 ... -0.03107338  0.00152545
 -0.00395677]",0.25595714283050464
63,"The World's 100 Most Powerful Women, Forbes, 2017","[-0.02370612 -0.02680833  0.00175792 ... -0.00702523  0.00497001
 -0.01198878]",0.2564743151598805
50,"Order of the Palmetto, 2010","[-0.00237572 -0.02938705 -0.00270845 ... -0.02323813 -0.00917014
 -0.01438741]",0.25743140146487975
66,"Freedom award, International Republican Institute, 2018","[-0.03000552 -0.01606209 -0.00924265 ... -0.02836356  0.00107174
 -0.01496304]",0.2579023079258539
45,"Indian American Pride Award, Indian American Friendship Council, 2005","[-0.01281178 -0.00095483  0.01606214 ... -0.04800329 -0.00293644
 -0.0252704 ]",0.2579380167899902
83,List of female governors in the United States,"[-0.02481332 -0.01849578 -0.00602059 ... -0.00595207  0.00082926
 -0.01102307]",0.2605502074108028
67,"Defender of Israel, Christians United for Israel, July 23, 2018","[-0.0092493  -0.00622326 -0.00816419 ... -0.01393854  0.01849861
 -0.01203314]",0.2608199202018393
58,"First Lady's Visionary Award, Claflin University, 2016","[-0.02251152 -0.01702285 -0.01783156 ... -0.02207402 -0.00503791
 -0.01377472]",0.2614242199125745
17,"These are not instances that... y'all haven't reported on anything. I haven't heard anything that's come to my office. So when I look at South Carolina, we look at our situations, we're not hearing of anybody's religious liberties that are being violated, and we're, again, not hearing any citizens that feel like they are being violated in terms of freedoms.","[ 0.00650445 -0.01217399  0.01807006 ... -0.00304026 -0.00394797
 -0.00739112]",0.26165922387473506
72,"Citizen of the Carolinas Award, 2018","[ 0.00611966 -0.00272094  0.01104015 ... -0.01420752 -0.00952164
 -0.00518118]",0.2631626275654575
44,"Legislator of the Year Award, Centennial Foundation, 2005","[-0.02410572  0.0071124  -0.00318415 ... -0.03156    -0.01733521
 -0.02303317]",0.26369242017932415
74,"Friend of Israel Humanitarian Award, Miami Jewish Federation, 2019","[-0.02076478 -0.00668796  0.01680833 ... -0.03838536 -0.00494883
 -0.02745929]",0.2639274999581894
62,"Global Vision Award, Columbia World Affairs Council, 2016","[-0.00414511 -0.01460755  0.01918846 ... -0.04245785 -0.0070673
 -0.00525656]",0.26630940194869923
71,"Excellence in Diplomacy Award, B'nai B'rith International, 2018","[-0.03703628 -0.0050794   0.01205895 ... -0.04184375 -0.0013479
 -0.02730049]",0.26675915428870123
85,List of minority governors and lieutenant governors in the United States,"[-0.01942959 -0.01832534 -0.00017367 ... -0.009958    0.00536023
 -0.00574475]",0.2667923943481284
55,"Ambassador of the Year, Columbia Chamber, 2015.","[-0.02353462 -0.00614148  0.00886515 ... -0.02892908 -0.00391362
 -0.01029309]",0.2668282523631287
47,"Strom Thurmond Excellence in Public Service and Government Award, South Carolina Federation of Republican Women, 2006","[-0.02896805 -0.01085972 -0.01258935 ... -0.02833429 -0.01675499
  0.00242611]",0.2674529439360923
73,"Ralph Hauenstein Fellowship Award, Hauenstein Center for Presidential Studies, 2019","[-0.01571265  0.00142707  0.01249056 ... -0.01490381  0.02441096
 -0.00253425]",0.26815151357433575
49,"W. Mack Chamblee Quality of Life Award, S.C. Association of Realtors, 2007","[-0.00070558  0.00074201  0.0126359  ... -0.03534836 -0.03146245
 -0.02638397]",0.26941920923303186
48,"Champion of Housing Award, Home Builders Association of S.C., 2007","[-5.91189135e-04 -7.92543578e-05  3.24144657e-03 ... -4.02354673e-02
 -2.11855806e-02 -9.00420174e-03]",0.26988612479703145
76,"UN Watch's Eleanor Roosevelt Award, UN Watch 2019","[-0.02020485 -0.01907714  0.01778833 ... -0.00087767  0.01054546
 -0.01640554]",0.2704066539108937
70,"Barbara K. Olson Woman of Valor Award, Independent Women's Forum,2018","[-0.03748176 -0.02795704 -0.00947776 ... -0.01624567  0.00429954
 -0.01623226]",0.2710422154041805
60,"Hyman Rubin Award, Greater Columbia Community Relations Council, 2016","[-0.00337282 -0.00018774  0.00809608 ... -0.03032899 -0.01389969
 -0.00046813]",0.2724981558063112
39,"With All Due Respect: Defending America with Grit and Grace, St. Martin's Press, New York (2019).","[-0.00428248 -0.02743455 -0.00800508 ... -0.03988541 -0.00047616
 -0.01348399]",0.2728998257165257
80,"Woman of Courage, College of Charleston's School of Business Award, February 27, 2020","[-0.02339708 -0.01710642 -0.00505149 ... -0.03525909  0.01007683
 -0.00823933]",0.2730169279070911
52,"State Leadership Award, Motor & Equipment Manufacturers Association, 2013","[-0.01367906  0.00373525 -0.00490273 ... -0.00619168 -0.00900915
 -0.0205557 ]",0.27303480776855416
82,Indian Americans in New York City,"[-0.00853473  0.00135854  0.00613557 ... -0.03049429 -0.00096606
 -0.01958662]",0.2734093315399292
65,"Honorary Doctorate of Humanities, Clemson University, May 10, 2018","[-0.00806388 -0.01185357 -0.00262325 ... -0.03660934  0.02511417
  0.01815866]",0.27457261434801505
54,"Honorary Doctorate of Public Service, University of South Carolina, May 8, 2015","[-0.01762697 -0.0072872  -0.007534   ... -0.03146096  0.00373453
  0.02171871]",0.27491625799478003
42,"Friend of the Taxpayer Award, S.C. Association of Taxpayers, 2005","[-0.01391858 -0.00867091  0.01495351 ... -0.03577167 -0.02562132
 -0.02639089]",0.27509904768753124
86,Official website,"[-0.01570123 -0.00734663 -0.00586373 ... -0.01214745  0.01418926
 -0.01449941]",0.27687064852592036
78,Irving Kristol Award American Enterprise Institute 2019,"[-0.01999856 -0.02224288  0.01035997 ... -0.02714567  0.01429422
 -0.02893579]",0.2777683503441276
56,"Award of Appreciation, Harvard Foundation for Intercultural and Race Relations, 2015","[-0.02287343 -0.01427146  0.0039556  ... -0.05148152 -0.01207535
  0.01008125]",0.27790025279198316
43,"Leader in Liberty Award, ABATE of South Carolina, 2005","[-0.01107814 -0.01383576 -0.00545055 ... -0.04414914 -0.02346359
 -0.01380852]",0.2793549313422391
51,"India Abroad Person of the Year 2010, India Abroad, 2011","[-0.01122913 -0.01812896  0.00271387 ... -0.04257148 -0.00838802
 -0.03280478]",0.2814507890132887
79,"World Jewish Congress Theodor Herzl Award, 6 November 2019","[-0.02690955 -0.00649167 -0.00224883 ... -0.01176656  0.02188949
 -0.02140532]",0.28283260083083694
77,"Humanitarian Laureate Award, The Simon Wiesenthal Center, May 24, 2019","[-0.00602283 -0.0169386  -0.0014443  ... -0.01230112  0.0168731
 -0.01273343]",0.28287106823723385
84,List of governors of South Carolina,"[-0.00479575 -0.00727151  0.0129588  ... -0.01916975 -0.01020133
  0.00294307]",0.2852976243808184
57,"David H. Wilkins Awards for Excellence, The Riley Institute at Furman University, 2015","[-0.02497266 -0.00284067 -0.01839041 ... -0.02872255 -0.00399257
 -0.01926805]",0.2883796757454725
53,"Roger Milliken Defender Of Manufacturing Award, South Carolina Manufacturers Alliance, Dec 5, 2013","[-0.01605913 -0.00248775 -0.00827901 ... -0.0070048  -0.0155872
  0.00012304]",0.2904372477903553
75,JCCM King David Award 11 April 2019,"[-0.01489538  0.00578669 -0.0032366  ... -0.01930237 -0.00465815
 -0.01898089]",0.29332032568422284
12," What I'm saying is, if you come to South Carolina, the cost of doing business is going to be low here. We are going to make sure that you have a loyal, willing workforce and we are going to be one of the lowest union-participation states in the country.","[-0.01048257 -0.0203112   0.01730311 ... -0.00860578 -0.01200624
  0.0170023 ]",0.29920401739541347
81,SOTE Award finalist – delayed ceremony due to COVID-19 pandemic.,"[-0.00297442 -0.01989991 -0.00983771 ... -0.02683253 -0.0034564
 -0.01630815]",0.30100143516281375
